Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Joey Wentz,666214,CH,SL,0.30701754,0.74157303,0.6,0.88636364,0.43842365,0.57142857,0.10591133,0.23399015,106.574851600204,94.248,0.18367347,0.1122449,21.1,Joey Wentz,Exact
Max Kranick,668820,SL,CH,0.3575419,0.77040816,0.78125,0.8410596,0.52266667,0.64485981,0.10133333,0.22666667,90.37565559,101.218449197861,0.1588785,0.02803738,27.0,Max Kranick,Exact
Eduard Bazardo,660825,SL,CH,0.29147982,0.60344828,0.73846154,0.8952381,0.43828715,0.63265306,0.07052897,0.27707809,101.494236123262,101.03798488665,0.19387755,0.1122449,23.1,Eduard Bazardo,Exact
Jack Dreyer,676263,CU,SL,0.34782609,0.67597765,0.5375,0.85123967,0.43765281,0.59259259,0.13414634,0.3,54.7387505122156,96.92863444,0.27777778,0.11111111,26.2,Jack Dreyer,Exact
Mitch Spence,687765,SI,CH,0.34920635,0.69117647,0.54545455,0.88652482,0.39306358,0.59124088,0.12692308,0.28076923,100.961041775709,101.084798464491,0.2189781,0.08029197,30.1,Mitch Spence,Exact
Ronel Blanco,669854,SF,SL,0.34719335,0.67412141,0.56287425,0.8056872,0.39420655,0.5879397,0.14357683,0.29974811,104.849813577212,89.040404040404,0.24120603,0.10050251,48.1,Ronel Blanco,Exact
Jeremiah Estrada,669093,SL,SL,0.44148936,0.73228346,0.56626506,0.78494624,0.4031746,0.725,0.17777778,0.3047619,68.2357945217633,119.379871794872,0.3875,0.05,20.1,Jeremiah Estrada,Exact
Tyler Ferguson,621053,SL,CU,0.2952381,0.64084507,0.64516129,0.85714286,0.40340909,0.60674157,0.09943182,0.25852273,108.787985657022,107.719401197605,0.2247191,0.14606742,21.0,Tyler Ferguson,Exact
Chad Patrick,694477,SL,CH,0.33545648,0.70625,0.77848101,0.87168142,0.4045512,0.64356436,0.08080808,0.22222222,90.0840404760963,102.09647552549,0.18811881,0.07425743,48.1,Chad Patrick,Exact
Sean Burke,680732,SL,CH,0.26961771,0.68328446,0.64925373,0.85407725,0.40692124,0.60550459,0.0965435,0.24672229,145.708999331768,91.4074046324565,0.15137615,0.12385321,48.0,Sean Burke,Exact
José Soriano,667755,SF,SL,0.283859,0.67115903,0.50980392,0.89959839,0.40769231,0.58634538,0.10989011,0.27142857,86.52686899,93.0172277227723,0.18473896,0.10843373,58.0,José Soriano,Exact
Trevor Williams,592866,CH,SI,0.30480167,0.64848485,0.67123288,0.88785047,0.407911,0.6407767,0.08899876,0.25957973,93.1848099982306,94.3761734693877,0.18446602,0.05825243,45.2,Trevor Williams,Exact
Tomoyuki Sugano,608372,SF,SL,0.34322034,0.67197452,0.71604938,0.90995261,0.39949109,0.59134615,0.0826972,0.24173028,121.115198574595,92.25806369,0.13942308,0.04326923,52.2,Tomoyuki Sugano,Exact
Anthony Banda,607455,SL,CH,0.3,0.72789116,0.49206349,0.90654206,0.41176471,0.52173913,0.11699164,0.2367688,140.127561412207,98.670745614035,0.18478261,0.09782609,22.2,Anthony Banda,Exact
Bryse Wilson,669060,SI,SL,0.31111111,0.68965517,0.75,0.90625,0.39189189,0.62745098,0.07263514,0.21283784,154.548330400538,97.7773693380555,0.12418301,0.09150327,33.0,Bryse Wilson,Exact
Charlie Morton,450203,CU,CU,0.30379747,0.68543046,0.61805556,0.89855072,0.38917526,0.54871795,0.09793814,0.25,148.143854608055,97.8329381443299,0.20512821,0.12307692,41.0,Charlie Morton,Exact
Fernando Cruz,518585,SF,SL,0.32644628,0.62121212,0.32911392,0.76829268,0.35294118,0.55913978,0.19251337,0.36631016,58.708778309917,104.484128686327,0.37634409,0.08602151,23.2,Fernando Cruz,Exact
Andrés Muñoz,662253,SL,SL,0.33173077,0.67213115,0.42028986,0.81707317,0.36969697,0.47435897,0.16666667,0.32727273,41.46613601618991,114.400978593272,0.35897436,0.1025641,20.2,Andrés Muñoz,Exact
Ronny Henriquez,678692,CH,SL,0.3699187,0.65068493,0.50549451,0.81052632,0.37244898,0.61165049,0.15989848,0.30456853,88.99389469,105.480205655527,0.29126214,0.12621359,22.2,Ronny Henriquez,Exact
Justin Sterner,686993,SI,SL,0.3253012,0.65100671,0.5308642,0.87628866,0.37437186,0.61956522,0.12531328,0.28070175,94.1239756006725,108.59022556391,0.29347826,0.14130435,22.2,Justin Sterner,Exact
Eduardo Rodriguez,593958,FC,CH,0.3161157,0.68259386,0.7254902,0.845,0.37709138,0.55924171,0.09383033,0.24807198,110.008391574613,92.265,0.2464455,0.08530806,44.2,Eduardo Rodriguez,Exact
Aaron Nola,605400,CU,CU,0.37616387,0.62576687,0.66831683,0.85294118,0.37775203,0.61818182,0.11239861,0.29548088,121.184221199915,105.53518128655,0.23636364,0.07272727,49.2,Aaron Nola,Exact
